1. Proceso,2. Nombre del Activo,3. Descripción,4. Tipo de Activo,5. Medio de Conservación del Activo,6. Propietario,7. Custodio,8. Respaldo,9. Ubicación,10. Valoracion de Activo - Confidencialidad,10. Valoracion de Activo - Integridad,10. Valoracion de Activo - Disponibilidad,11. ¿El Activo necesita de permisos especiales para acceder?,12. El activo contiene datos personales.,13. Verificar si el activo requiere cumplimiento legal,14. El activo requiere protección especial,15.¿El activo es para uso exclusivo del propietario o responsable?
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 013, comprende el período de mayo a junio de 2015, contiene noticias sobre: Planificar el campo: apuesta del departamento del Tolima, El Agro es región Pacífico, Planificación rural agropecuaria clave en la asociatividad, Productividad y competitividad: banderas del proyecto de Ley ZIDRES, Finaliza con éxito el primer foro ZIDRES, Por una Colombia más productiva, UPRA participa en la ENREDD+, Nairo Quintana, embajador del agro colombiano, UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-013,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 014, comprende el período de junio a julio de 2015, contiene noticias sobre: Un expo Milano, un homenaje a nuestros campesinos, Adecuación de tierras, futuro del campo en el Huila, Primeros pasos por el POPSPR para Tolima, UPRA trabaja por la competitividad del sector papero, Evaluación de tierras para la Altillanura, La pesca artesanal, ejemplo de planificación y ordenamiento, Primera reunión de la mesa intersectorial para la zonificación acuícola y pesquera, Zonificación, aliada del sector maderero, UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-014,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 015, Boletín especial sobre Agroexpo 2015.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-015,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 016, comprende el período de julio a agosto de 2015, contiene noticias sobre: Rendición de cuentas 2015; MinAgricultura trabaja por la productividad del Valle del Cauca; Pereira, una apuesta por la armonización urbano - rural; Avances en la planificación rural agropecuaria del país; Oferta Institucional para el agro en Agrofuturo 2015; Financiamiento y crédito eficiente para el campo colombiano; Ordenamiento de la acuicultura y pesca para el Magdalena Medio; Foro: Inteligencia Comercial Aplicada al Mercado de tierras; Ordenamiento Territorial y Zonificación: Futuro del campo cesarense; UPRA busca fortalecer la ruralidad en las Áreas Metropolitanas; UPRA y SENA: educación agropecuario para el Tolima; Gobierno Nacional le cumple al sector agropecuario; Ambiente y Agricultura: un acuerdo por las Macrocuencas; Con $1.1 billones Minagricultura impulsa el futuro productivo del Tolima; Ordenamiento Productivo: la nueva agricultura que requiere el país; Medellín, hacia el Ordenamiento Productivo Acuícola; UPRA inicia proceso de auditoria con BVQI Colombia; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-016,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 017, comprende el período de septiembre de 2015, contiene noticias sobre: Rendición de Cuentas Permanente; Ministerio de Agricultura identifica zonas de mayor productividad agropecuaria; Ordenamiento productivo: por la competitividad del Agro; El ordenamiento productivo y social de la propiedad es planear el futuro del campo; Minagricultura busca ordenar productivamente el campo colombiano; Sostenibilidad ambiental, base de la productividad agropecuaria; UPRA presenta nuevos datos sobre la dinámica del mercado formal en Colombia; Pereira, Dosquebradas y la Virginia hacia el Uso Eficiente del Suelo; Avanza la construcción del plan de ordenamiento de acuicultura y pesca; UPRA participa del Consejo Nacional de la Cadena Forestal; Altamira, ejemplo de uso eficiente del suelo en el Valle del Cauca; Uso eficiente del suelo base de la productividad de ‘El Hatico’; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-017,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 018, comprende el período de octubre y noviembre de 2015, contiene noticias sobre: Rendicuentas 2015: Planificación rural agropecuaria, la clave del PLAN COLOMBIA SIEMBRA’; Premio ExcelGEL 2015 para Agricultura; Investigación e innovación en Agronova 2015; Minagricultura y UPRA identifican zonas productivas para la papa; UPRA en el XXXVIII Congreso Agrario Nacional; Minagricultura revisa criterios para determinar zonas de importancia para la pesca y la acuicultura; Convenio FND y MADR permitirá a UPRA orientar la política agro en los departamentos; Ordenamiento productivo para áreas sustraídas de reserva forestal; MinAgricultura presenta el plan ‘Colombia Siembra’; A sembrar lo que toca, donde toca: MinAgricultura; Colombia sabrá qué activida- des agropecuarias son las más competitivas; Minagricultura impulsa el desarrollo pesquero de Colombia; Acuicultura ornamental: Una oportunidad para el Amazonas; Ordenar la pesca ornamental y la acuicultura de consumo en el Meta; Café Villavo’ ejemplo de asociatividad y ordenamiento productivo; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-018,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 019, comprende el período de diciembre de 2015, contiene noticias sobre: Foros semana Colombia siembra; UPRA, fundamental en la red de gestión territorial para el desarrollo rural; Adecuación de tierras; Minagricultura planifica el futuro del campo; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-019,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 020, comprende el período de enero y febrero de 2016, contiene noticias sobre: Planes de Desarrollo fortalecerán el sector agropecuario; UPRA se traslada a nueva sede; Cundinamarca se suma al plan ‘Colombia Siembra’; La UPRA y Fedepapa trabajan por un sector papero más competitivo y rentable; Minagricultura entrega al Atlántico primer instrumento de ‘Colombia Siembra’; Productores y Compradores unidos por Colombia Siembra; Planificación agropecuaria, prioridad para Antioquia; Avances y desafíos UPRA 2016; Minagricultura respalda el crecimiento agropecuario del Cesar; Minagricultura respalda el crecimiento agropecuario del Cesar; Ley Zidres sancionada por Presidente Santos; Sector agropecuario fortalecido en el Plan de Desarrollo del Quindío; Gremio maicero respalda mapa de zonificación UPRA; Se amplía plazo de inscripción en Colombia Siembra; Atlántico fortalecerá el sector agropecuario en su Plan de Desarrollo; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-020,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 9 - 2018, comprende el período de octubre de 2018, contiene noticias sobre: Avanza planificación de la acuicultura y la pesca marina en Colombia; ¿Necesita ayuda para simplificar su relación con el estado?; Atentos con el clima; Industrias comerciales validan la zonificación para el cultivo tecnificado de la papa variedad Diacol Capiro; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-09,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 021, comprende el período de marzo de 2016, contiene noticias sobre: Así planifican el campo y las zidres; Dos millones de hectáreas potenciales para la papa; Plan de desarrollo del Meta se enfocará en el campo; Tolima: pionero en incorporar el agro en el Plan de desarrollo departamental; El Caribe comprometido con Colombia Siembra; Huila adoptará componente Rural en su Planificación; Nariño fortalece planificación rural; UPRA participa en el XVIII Congreso Nacional de la papa; UPRA presente en feria del Mueble y la Madera; Agronegocios y Productividad para el Putumayo; La UPRA respalda la campaña: Apagar Paga; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-021,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 022, comprende el período de abril de 2016, contiene noticias sobre: Financiamiento y planificación para el desarrollo agropecuario del Tolima; Comités y asociaciones de ganaderos del país se reúnen con Minagricultura; Colombia Siembra Agronegocios en Tame; Casanare promueve el desarrollo rural agropecuario; Inversiones de productores protegidas con seguro agropecuario; UPRA presenta conclusiones sobre extranjerización y tenencia de la tierra; La OCDE aprueba ingreso de Colombia al Comité de Pesca; Colombia Siembra: futuro del campo antioqueño; MinAgricultura invita a la banca a sembrar en el campo; Productores hortofrutícolas identifican mejores zonas para cultivar; Minagricultura fortalece política del sector forestal; Colombia Siembra Vida y Siembra Paz; UPRA acompaña nueva propuesta de Tasa por Uso de Agua; Así es el Mercado de Tierras del país; Ordenamiento productivo y social para el campo Cesarense; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-022,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 023, comprende el período de mayo de 2016, contiene noticias sobre: Vichada: hacia el ordenamiento productivo; Pereira: planeación y ordenamiento del suelo rural; Armenia: visión de planificación rural; UPRA fortalece procesos de zonificación de hortofrutícolas; Ordenamiento y Derecho de Tierras; Pasturas para la producción pecuaria; El Catatumbo: qué y dónde sembrar; Cesar Siembra el futuro del campo; Córdoba: Tierra de oportunidades para el desarrollo rural y agropecuario; Minagricultura y UPRA se unen al Fondo de Agua de Santa Marta; Riego y Drenaje para el sector Agropecuario; Instrumentos tributarios y fiscales motivarían uso eficiente del suelo; Colombia Siembra futuro en Risaralda; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-023,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 024, comprende el período de junio de 2016, contiene noticias sobre: Participe en nuestro proceso Rendicuentas 2016; Entidades trabajan en lineamientos para el sector agropecuario; Gobernanza en áreas protegidas y zonas de influencia; UPRA avanza en formulación de política de Ordenamiento Productivo; Agua, alimentos y energía: ¿Cómo gobernarlos?; Uso y apropiación arquitectura TI en UPRA; UPRA entrega lineamientos en el día del campesino; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-024,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 025, comprende el período de julio de 2016, contiene noticias sobre: Invitación a la Audiencia de Rendición de cuentas 2016; Nos debemos al campo y por eso trabajamos todos los días: Felipe Fonseca Fino; Lineamientos para política forestal comercial; Santander le apuesta a la planificación rural agropecuaria; Montes de María: Por desarrollo rural con enfoque territorial; Manejo sostenible del suelo para América Latina y el Caribe; ‘Cesar Siembra’, por un campo más productivo; Industriales se suman al plan ‘Colombia Siembra’; Bahía Solano: epicentro de pesca en el Pacífico Norte; Planificar la tierra rural para la paz; Agro y Ambiente: integrando biodiversidad y producción; Páramos y humedales para planificar el Campo; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-025,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 026, comprende el período de agosto de 2016, contiene noticias sobre: Ley Zidres: el gran paso para el desarrollo del campo colombiano, dice Presidente Santos; Desarrollo Rural Agropecuario, prioridad para Bolívar; Primeras acciones del Plan Nacional de Ordenamiento Productivo; Colombia busca mayor desarrollo para la acuicultura; Convenio UPRA-COSUDE; Cesar, ejemplo de planificación rural agropecuaria; Planificar para proteger y recuperar la propiedad rural; RENDICUENTAS 2016: Ordenamiento y planificación para el futuro del campo; Magdalena prepara convenio por el desarrollo agropecuario; Planificación rural y ordenamiento territorial; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-026,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 027, comprende el período de septiembre de 2016, contiene noticias sobre: El sector Agro se moviliza por la paz del campo; Sector agro unido por la formalización de la propiedad; Ordenamiento Rural Agropecuario para la Región Central; AgroMojana escenario para el Ordenamiento Productivo; Ordenamiento productivo: futuro del agro antioqueño; Colombia Siembra Paz, oferta institucional en Agrofuturo; Planificación rural agropecuaria para la agroindustria; Entidades del sector reflexionan sobre el postconflicto; Atlántico y UPRA firman acuerdo por el ordenamiento del campo; Planificación y Agronegocios en Cundinamarca; Desarrollo agropecuario, una oportunidad para el Quindío; UPRA en Conferencia Tierras y Territorios; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-027,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 9 - 2020, comprende el período de noviembre de 2020, contiene noticias sobre: Plan de ordenamiento productivo del arroz, noticias del sector, Bancolombia incorpora el Sipra a su conjunto de herramientas de información agropecuaria, A sus 9 años, la UPRA se consolida como gestor de la información agropecuaria en Colombia y lo más destacado en las redes sociales.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-17,0,5,5,NO,NO,No Aplica,NO,NO
